host_name,num_cores,num_tasks,trace_size,failed_tasks,compute_time,IO_time_input,IO_time_output,Comm/Comp_Ratio,energy_consumed,completion_date
BatchHeadNode,1,58,58,0,136.736,59.8701,1.10707,3406.04,185926,18582.6
BatchNode1,10,58,58,0,136.736,59.8701,1.10707,3406.04,269731,18582.6
BatchNode2,10,58,58,0,136.736,59.8701,1.10707,3406.04,403078,18582.6
CloudHeadNode,2,58,58,0,136.736,59.8701,1.10707,3406.04,185926,18582.6
CloudNode1,4,58,58,0,136.736,59.8701,1.10707,3406.04,291944,18582.6
CloudNode2,4,58,58,0,136.736,59.8701,1.10707,3406.04,406073,18582.6
WMSHost,1,58,58,0,136.736,59.8701,1.10707,3406.04,185926,18582.6
BatchHeadNode,1,58,58,0,136.736,59.8701,0.894977,102.925,32226.1,3212.6
BatchNode1,10,58,58,0,136.736,59.8701,0.894977,102.925,111887,3212.6
BatchNode2,10,58,58,0,136.736,59.8701,0.894977,102.925,110970,3212.6
CloudHeadNode,2,58,58,0,136.736,59.8701,0.894977,102.925,32226.1,3212.6
CloudNode1,4,58,58,0,136.736,59.8701,0.894977,102.925,133966,3212.6
CloudNode2,4,58,58,0,136.736,59.8701,0.894977,102.925,264497,3212.6
WMSHost,1,58,58,0,136.736,59.8701,0.894977,102.925,32226.1,3212.6
BatchHeadNode,1,58,58,0,136.736,59.8181,1.97134,85.6665,32331.8,3223.15
BatchNode1,10,58,58,0,136.736,59.8181,1.97134,85.6665,112409,3223.15
BatchNode2,10,58,58,0,136.736,59.8181,1.97134,85.6665,110686,3223.15
CloudHeadNode,2,58,58,0,136.736,59.8181,1.97134,85.6665,32331.8,3223.15
CloudNode1,4,58,58,0,136.736,59.8181,1.97134,85.6665,138350,3223.15
CloudNode2,4,58,58,0,136.736,59.8181,1.97134,85.6665,260324,3223.15
WMSHost,1,58,58,0,136.736,59.8181,1.97134,85.6665,32331.8,3223.15
BatchHeadNode,1,58,58,0,136.736,65.8589,2.39824,87.0151,32151.7,3205.16
BatchNode1,10,58,58,0,136.736,65.8589,2.39824,87.0151,111855,3205.16
BatchNode2,10,58,58,0,136.736,65.8589,2.39824,87.0151,110645,3205.16
CloudHeadNode,2,58,58,0,136.736,65.8589,2.39824,87.0151,32151.7,3205.16
CloudNode1,4,58,58,0,136.736,65.8589,2.39824,87.0151,133892,3205.16
CloudNode2,4,58,58,0,136.736,65.8589,2.39824,87.0151,264423,3205.16
WMSHost,1,58,58,0,136.736,65.8589,2.39824,87.0151,32151.7,3205.16
BatchHeadNode,1,62,62,0,136.736,59.8181,1.45283,131.096,48661.1,4856.09
BatchNode1,10,62,62,0,136.736,59.8181,1.45283,131.096,135102,4856.09
BatchNode2,10,62,62,0,136.736,59.8181,1.45283,131.096,129685,4856.09
CloudHeadNode,2,62,62,0,136.736,59.8181,1.45283,131.096,48661.1,4856.09
CloudNode1,4,62,62,0,136.736,59.8181,1.45283,131.096,154680,4856.09
CloudNode2,4,62,62,0,136.736,59.8181,1.45283,131.096,313731,4856.09
WMSHost,1,62,62,0,136.736,59.8181,1.45283,131.096,48661.1,4856.09
